date,area,metric,days,source,collected_as_of
2026-06-01,London,days_to_secure_buyer,70,rightmove_hpi,2026-08-09
2026-05-01,London,days_to_secure_buyer,68,rightmove_hpi,2026-08-09
2026-04-01,London,days_to_secure_buyer,71,rightmove_hpi,2026-08-09
2026-03-01,London,days_to_secure_buyer,74,rightmove_hpi,2026-08-09
2026-02-01,London,days_to_secure_buyer,80,rightmove_hpi,2026-08-09
2026-01-01,London,days_to_secure_buyer,89,rightmove_hpi,2026-08-09
2025-12-01,London,days_to_secure_buyer,87,rightmove_hpi,2026-08-09
2025-11-01,London,days_to_secure_buyer,78,rightmove_hpi,2026-08-09
2025-10-01,London,days_to_secure_buyer,72,rightmove_hpi,2026-08-09
2025-09-01,London,days_to_secure_buyer,70,rightmove_hpi,2026-08-09
2025-08-01,London,days_to_secure_buyer,71,rightmove_hpi,2026-08-09
