date,area,avg_asking_price_ftb_gbp,afford_4_5x_salary_1_person_gbp,afford_4_5x_salary_2_people_gbp,gap_vs_1_person_gbp,gap_vs_2_people_gbp,affordable_single,affordable_couple,source,collected_as_of
2026-07-01,UK,226120,176202,352404,49918,-126284,no,yes,rightmove_hpi,2026-08-09
2026-06-01,UK,227538,176202,352404,51336,-124866,no,yes,rightmove_hpi,2026-08-09
2026-05-01,UK,228048,176202,352404,51846,-124356,no,yes,rightmove_hpi,2026-08-09
2026-04-01,UK,227399,176202,352404,51197,-125005,no,yes,rightmove_hpi,2026-08-09
2026-03-01,UK,226955,176436,352872,50519,-125917,no,yes,rightmove_hpi,2026-08-09
2026-02-01,UK,226050,174798,349596,51252,-123546,no,yes,rightmove_hpi,2026-08-09
2026-01-01,UK,225544,173862,347724,51682,-122180,no,yes,rightmove_hpi,2026-08-09
2025-12-01,UK,221950,171990,343980,49960,-122030,no,yes,rightmove_hpi,2026-08-09
2025-11-01,UK,225128,173160,346320,51968,-121192,no,yes,rightmove_hpi,2026-08-09
2025-10-01,UK,226869,173160,346320,53709,-119451,no,yes,rightmove_hpi,2026-08-09
2025-09-01,UK,227133,171756,343512,55377,-116379,no,yes,rightmove_hpi,2026-08-09
2025-08-01,UK,226297,171522,343044,54775,-116747,no,yes,rightmove_hpi,2026-08-09
2025-07-01,UK,227466,170352,340704,57114,-113238,no,yes,rightmove_hpi,2026-08-09
2025-06-01,UK,228780,169650,339300,59130,-110520,no,yes,rightmove_hpi,2026-08-09
2025-05-01,UK,229648,169182,338364,60466,-108716,no,yes,rightmove_hpi,2026-08-09
2025-04-01,UK,228551,168480,336960,60071,-108409,no,yes,rightmove_hpi,2026-08-09
2025-03-01,UK,227965,168714,337428,59251,-109463,no,yes,rightmove_hpi,2026-08-09
2025-02-01,UK,226887,168012,336024,58875,-109137,no,yes,rightmove_hpi,2026-08-09
2025-01-01,UK,227212,166140,332280,61072,-105068,no,yes,rightmove_hpi,2026-08-09
2024-12-01,UK,225086,167076,334152,58010,-109066,no,yes,rightmove_hpi,2026-08-09
2024-11-01,UK,225340,165438,330876,59902,-105536,no,yes,rightmove_hpi,2026-08-09
2024-10-01,UK,226868,164970,329940,61898,-103072,no,yes,rightmove_hpi,2026-08-09
2024-09-01,UK,227570,164736,329472,62834,-101902,no,yes,rightmove_hpi,2026-08-09
2024-08-01,UK,227191,163098,326196,64093,-99005,no,yes,rightmove_hpi,2026-08-09
2024-07-01,UK,227924,162162,324324,65762,-96400,no,yes,rightmove_hpi,2026-08-09
2024-06-01,UK,227757,161928,323856,65829,-96099,no,yes,rightmove_hpi,2026-08-09
2024-05-01,UK,228003,161694,323388,66309,-95385,no,yes,rightmove_hpi,2026-08-09
2024-04-01,UK,227110,160992,321984,66118,-94874,no,yes,rightmove_hpi,2026-08-09
2024-03-01,UK,226370,160056,320112,66314,-93742,no,yes,rightmove_hpi,2026-08-09
2024-02-01,UK,224815,159120,318240,65695,-93425,no,yes,rightmove_hpi,2026-08-09
2024-01-01,UK,222473,158184,316368,64289,-93895,no,yes,rightmove_hpi,2026-08-09
2023-12-01,UK,219984,157248,314496,62736,-94512,no,yes,rightmove_hpi,2026-08-09
2023-11-01,UK,223426,156780,313560,66646,-90134,no,yes,rightmove_hpi,2026-08-09
2023-10-01,UK,224263,155610,311220,68653,-86957,no,yes,rightmove_hpi,2026-08-09
2023-09-01,UK,225244,156780,313560,68464,-88316,no,yes,rightmove_hpi,2026-08-09
2023-08-01,UK,223614,155610,311220,68004,-87606,no,yes,rightmove_hpi,2026-08-09
