date,area,metric,aggregation,avg_asking_price_gbp,mom_change_pct,yoy_change_pct,days_to_find_buyer,source,collected_as_of
2026-07-01,Yorkshire and The Humber,avg_asking_price,mean,259730,0.3,0.4,62,rightmove_hpi,2026-08-09
2026-07-01,West Midlands,avg_asking_price,mean,300564,-1.1,1.2,62,rightmove_hpi,2026-08-09
2026-07-01,Wales,avg_asking_price,mean,272021,0.2,0.4,66,rightmove_hpi,2026-08-09
2026-07-01,South West,avg_asking_price,mean,384036,-0.3,-0.9,69,rightmove_hpi,2026-08-09
2026-07-01,South East,avg_asking_price,mean,479784,-1.0,-1.4,67,rightmove_hpi,2026-08-09
2026-07-01,Scotland,avg_asking_price,mean,203894,-1.5,2.2,29,rightmove_hpi,2026-08-09
2026-07-01,North West,avg_asking_price,mean,275168,0.3,2.3,57,rightmove_hpi,2026-08-09
2026-07-01,North East,avg_asking_price,mean,196895,-2.0,0.0,53,rightmove_hpi,2026-08-09
2026-07-01,London,avg_asking_price,mean,676248,-1.6,-1.2,70,rightmove_hpi,2026-08-09
2026-07-01,East of England,avg_asking_price,mean,419527,-0.7,-0.7,66,rightmove_hpi,2026-08-09
2026-07-01,East Midlands,avg_asking_price,mean,291470,-1.1,-0.3,68,rightmove_hpi,2026-08-09
2026-06-01,Yorkshire and The Humber,avg_asking_price,mean,259064,-0.6,0.1,62,rightmove_hpi,2026-08-09
2026-06-01,West Midlands,avg_asking_price,mean,303805,-0.1,1.3,59,rightmove_hpi,2026-08-09
2026-06-01,Wales,avg_asking_price,mean,271459,-1.6,-0.3,66,rightmove_hpi,2026-08-09
2026-06-01,South West,avg_asking_price,mean,385078,-1.2,-1.7,66,rightmove_hpi,2026-08-09
2026-06-01,South East,avg_asking_price,mean,484819,-1.0,-1.6,65,rightmove_hpi,2026-08-09
2026-06-01,Scotland,avg_asking_price,mean,207011,0.8,3.3,31,rightmove_hpi,2026-08-09
2026-06-01,North West,avg_asking_price,mean,274379,-0.9,0.7,57,rightmove_hpi,2026-08-09
2026-06-01,North East,avg_asking_price,mean,200887,0.0,3.2,52,rightmove_hpi,2026-08-09
2026-06-01,London,avg_asking_price,mean,687080,0.3,-1.2,68,rightmove_hpi,2026-08-09
2026-06-01,East of England,avg_asking_price,mean,422497,-0.8,-0.6,64,rightmove_hpi,2026-08-09
2026-06-01,East Midlands,avg_asking_price,mean,294710,0.1,0.9,65,rightmove_hpi,2026-08-09
2026-05-01,Yorkshire and The Humber,avg_asking_price,mean,260739,0.7,1.0,62,rightmove_hpi,2026-08-09
2026-05-01,West Midlands,avg_asking_price,mean,304166,1.7,0.5,61,rightmove_hpi,2026-08-09
2026-05-01,Wales,avg_asking_price,mean,275836,0.7,1.7,71,rightmove_hpi,2026-08-09
2026-05-01,South West,avg_asking_price,mean,389772,0.5,-2.2,68,rightmove_hpi,2026-08-09
2026-05-01,South East,avg_asking_price,mean,489561,1.4,-1.6,67,rightmove_hpi,2026-08-09
2026-05-01,Scotland,avg_asking_price,mean,205368,-1.3,1.9,31,rightmove_hpi,2026-08-09
2026-05-01,North West,avg_asking_price,mean,276970,1.9,2.6,57,rightmove_hpi,2026-08-09
2026-05-01,North East,avg_asking_price,mean,200789,1.2,2.7,50,rightmove_hpi,2026-08-09
2026-05-01,London,avg_asking_price,mean,685347,0.8,-2.4,71,rightmove_hpi,2026-08-09
2026-05-01,East of England,avg_asking_price,mean,426107,1.2,-0.1,66,rightmove_hpi,2026-08-09
2026-05-01,East Midlands,avg_asking_price,mean,294386,1.0,0.8,68,rightmove_hpi,2026-08-09
2026-04-01,Yorkshire and The Humber,avg_asking_price,mean,258812,1.28,1.05,69,rightmove_hpi,2026-08-09
2026-04-01,West Midlands,avg_asking_price,mean,299150,1.65,1.21,66,rightmove_hpi,2026-08-09
2026-04-01,Wales,avg_asking_price,mean,274007,2.96,1.93,79,rightmove_hpi,2026-08-09
2026-04-01,South West,avg_asking_price,mean,387771,3.16,-1.67,75,rightmove_hpi,2026-08-09
2026-04-01,South East,avg_asking_price,mean,482573,1.25,-2.06,72,rightmove_hpi,2026-08-09
2026-04-01,Scotland,avg_asking_price,mean,208122,4.31,3.75,33,rightmove_hpi,2026-08-09
2026-04-01,North West,avg_asking_price,mean,271750,0.4,2.0,60,rightmove_hpi,2026-08-09
2026-04-01,North East,avg_asking_price,mean,198416,1.84,2.16,55,rightmove_hpi,2026-08-09
2026-04-01,London,avg_asking_price,mean,680147,-0.12,-2.72,74,rightmove_hpi,2026-08-09
2026-04-01,East of England,avg_asking_price,mean,421237,0.43,-0.88,69,rightmove_hpi,2026-08-09
2026-04-01,East Midlands,avg_asking_price,mean,291392,0.4,-0.23,73,rightmove_hpi,2026-08-09
2026-03-01,Yorkshire and The Humber,avg_asking_price,mean,255529,0.6,1.0,76,rightmove_hpi,2026-08-09
2026-03-01,West Midlands,avg_asking_price,mean,294302,0.5,1.1,71,rightmove_hpi,2026-08-09
2026-03-01,Wales,avg_asking_price,mean,266119,1.1,1.3,85,rightmove_hpi,2026-08-09
2026-03-01,South West,avg_asking_price,mean,375875,1.2,-1.8,81,rightmove_hpi,2026-08-09
2026-03-01,South East,avg_asking_price,mean,476637,1.4,-1.1,78,rightmove_hpi,2026-08-09
2026-03-01,Scotland,avg_asking_price,mean,199528,2.4,1.0,39,rightmove_hpi,2026-08-09
2026-03-01,North West,avg_asking_price,mean,270656,1.2,2.6,66,rightmove_hpi,2026-08-09
2026-03-01,North East,avg_asking_price,mean,194832,1.2,0.6,60,rightmove_hpi,2026-08-09
2026-03-01,London,avg_asking_price,mean,680987,0.0,-2.1,80,rightmove_hpi,2026-08-09
2026-03-01,East of England,avg_asking_price,mean,419447,1.1,-0.2,76,rightmove_hpi,2026-08-09
2026-03-01,East Midlands,avg_asking_price,mean,290218,1.2,1.3,79,rightmove_hpi,2026-08-09
2026-02-01,Yorkshire and The Humber,avg_asking_price,mean,253889,2.0,0.9,80,rightmove_hpi,2026-08-09
2026-02-01,West Midlands,avg_asking_price,mean,292796,0.5,1.3,82,rightmove_hpi,2026-08-09
