date,area,metric,value,note,source,collected_as_of
2026-06-01,UK,avg_stock_per_agent,65,includes under offer / sold STC,rightmove_hpi,2026-08-09
2026-05-01,UK,avg_stock_per_agent,63,includes under offer / sold STC,rightmove_hpi,2026-08-09
2026-04-01,UK,avg_stock_per_agent,62,includes under offer / sold STC,rightmove_hpi,2026-08-09
2026-03-01,UK,avg_stock_per_agent,59,includes under offer / sold STC,rightmove_hpi,2026-08-09
2026-02-01,UK,avg_stock_per_agent,57,includes under offer / sold STC,rightmove_hpi,2026-08-09
2026-01-01,UK,avg_stock_per_agent,56,includes under offer / sold STC,rightmove_hpi,2026-08-09
2025-12-01,UK,avg_stock_per_agent,56,includes under offer / sold STC,rightmove_hpi,2026-08-09
2025-11-01,UK,avg_stock_per_agent,61,includes under offer / sold STC,rightmove_hpi,2026-08-09
2025-10-01,UK,avg_stock_per_agent,64,includes under offer / sold STC,rightmove_hpi,2026-08-09
2025-09-01,UK,avg_stock_per_agent,66,includes under offer / sold STC,rightmove_hpi,2026-08-09
2025-08-01,UK,avg_stock_per_agent,65,includes under offer / sold STC,rightmove_hpi,2026-08-09
