dataset_file,row_count,source,source_url,collected_as_of,method_track
news/boe_bank_rate_change_events.csv,256,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",2026-08-10,B_open_data
news/political_news_items.csv,346,boe_bank_rate_events,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/2015&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",2026-08-10,C_news
panels/backtest_label_ledger.csv,133712,,https://publicdata.landregistry.gov.uk/market-trend-data/house-price-index-data/UK-HPI-full-file-2026-05.csv,2026-08-10,panel_derived
panels/backtest_split_assignments.csv,133712,,,2026-08-10,panel_derived
panels/panel_asking_rm_regional_features.csv,132,,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,A_rightmove
panels/panel_sold_ukhpi_features.csv,20543,,https://publicdata.landregistry.gov.uk/market-trend-data/house-price-index-data/UK-HPI-full-file-2026-05.csv,2026-08-10,B_open_data
prices/ppd_city_monthly_2026.csv,96,hm_land_registry_ppd,https://price-paid-data.publicdata.landregistry.gov.uk/pp-2026.csv,2026-08-10,B_open_data
prices/rm_hpi_days_to_buyer_london.csv,11,rightmove_hpi,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,A_rightmove
prices/rm_hpi_days_to_buyer_national.csv,11,rightmove_hpi,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,A_rightmove
prices/rm_hpi_ftb_rent_vs_mortgage.csv,90,rightmove_hpi,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,A_rightmove
prices/rm_hpi_ftb_wage_affordability.csv,121,rightmove_hpi,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,A_rightmove
prices/rm_hpi_london_monthly.csv,12,rightmove_hpi,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,A_rightmove
prices/rm_hpi_market_sectors_snapshot.csv,4,rightmove_hpi,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,A_rightmove
prices/rm_hpi_national_monthly.csv,61,rightmove_hpi,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,A_rightmove
prices/rm_hpi_regional_monthly.csv,132,rightmove_hpi,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,A_rightmove
prices/rm_hpi_stock_per_agent.csv,11,rightmove_hpi,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,A_rightmove
prices/ukhpi_area_monthly.csv,20543,hm_land_registry_ukhpi,https://publicdata.landregistry.gov.uk/market-trend-data/house-price-index-data/UK-HPI-full-file-2026-05.csv,2026-08-10,B_open_data
prices/ukhpi_national_monthly.csv,3490,hm_land_registry_ukhpi,https://publicdata.landregistry.gov.uk/market-trend-data/house-price-index-data/UK-HPI-full-file-2026-05.csv,2026-08-10,B_open_data
prices/ukhpi_regional_monthly.csv,6172,hm_land_registry_ukhpi,https://publicdata.landregistry.gov.uk/market-trend-data/house-price-index-data/UK-HPI-full-file-2026-05.csv,2026-08-10,B_open_data
rates/boe_bank_rate_monthly.csv,363,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",2026-08-10,B_open_data
