as_of_date,metric,ltv,value_pct,weekly_change_pp,yearly_change_pp,source,source_url,collected_as_of
2026-08-10,avg_2y_fixed,all,5.09,-0.01,0.59,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,avg_5y_fixed,all,5.12,-0.01,0.62,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,lowest_2y_fixed,all,4.46,0.04,0.77,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,lowest_5y_fixed,all,4.48,-0.09,0.64,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,avg_2y_fixed,95,5.68,0.0,0.49,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,avg_5y_fixed,95,5.69,0.0,0.57,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,avg_2y_fixed,90,5.24,-0.01,0.52,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,avg_5y_fixed,90,5.22,-0.01,0.56,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,avg_2y_fixed,85,5.02,-0.02,0.62,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,avg_5y_fixed,85,5.07,-0.01,0.68,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,avg_2y_fixed,75,4.96,-0.02,0.64,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,avg_5y_fixed,75,4.98,0.0,0.61,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,avg_2y_fixed,60,4.67,-0.01,0.78,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,avg_5y_fixed,60,4.7,-0.02,0.68,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,lowest_ftb_2y_fixed,95,4.97,0.0,0.3,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,lowest_ftb_5y_fixed,95,4.98,0.0,0.32,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,lowest_ftb_2y_fixed,90,4.86,0.02,0.6,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,lowest_ftb_5y_fixed,90,4.75,-0.1,0.48,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,lowest_ftb_2y_fixed,85,4.73,-0.01,0.82,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,lowest_ftb_5y_fixed,85,4.73,-0.06,0.7,rightmove_mortgage_tracker_podium,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
2026-08-10,boe_base_rate,,3.75,,,rightmove_mortgage_article_via_boe,https://www.rightmove.co.uk/news/articles/property-news/current-uk-mortgage-rates/,2026-08-10
