as_of_date,channel,area,result_count,source,url
2026-08-09,sale,London,59237,rightmove_search,https://www.rightmove.co.uk/property-for-sale/London.html
2026-08-09,rent,London,31768,rightmove_search,https://www.rightmove.co.uk/property-to-rent/London.html
2026-08-09,sale,Manchester,6867,rightmove_search,https://www.rightmove.co.uk/property-for-sale/Manchester.html
2026-08-09,rent,Manchester,4785,rightmove_search,https://www.rightmove.co.uk/property-to-rent/Manchester.html
2026-08-09,sale,Birmingham,6310,rightmove_search,https://www.rightmove.co.uk/property-for-sale/Birmingham.html
2026-08-09,rent,Birmingham,4026,rightmove_search,https://www.rightmove.co.uk/property-to-rent/Birmingham.html
2026-08-09,sale,Leeds,4829,rightmove_search,https://www.rightmove.co.uk/property-for-sale/Leeds.html
2026-08-09,rent,Leeds,3583,rightmove_search,https://www.rightmove.co.uk/property-to-rent/Leeds.html
2026-08-09,sale,Bristol,3646,rightmove_search,https://www.rightmove.co.uk/property-for-sale/Bristol.html
2026-08-09,rent,Bristol,1968,rightmove_search,https://www.rightmove.co.uk/property-to-rent/Bristol.html
2026-08-09,sale,Edinburgh,1739,rightmove_search,https://www.rightmove.co.uk/property-for-sale/Edinburgh.html
2026-08-09,rent,Edinburgh,828,rightmove_search,https://www.rightmove.co.uk/property-to-rent/Edinburgh.html
2026-08-09,sale,Liverpool,4731,rightmove_search,https://www.rightmove.co.uk/property-for-sale/Liverpool.html
2026-08-09,rent,Liverpool,1703,rightmove_search,https://www.rightmove.co.uk/property-to-rent/Liverpool.html
2026-08-09,sale,Glasgow,1898,rightmove_search,https://www.rightmove.co.uk/property-for-sale/Glasgow.html
2026-08-09,rent,Glasgow,1167,rightmove_search,https://www.rightmove.co.uk/property-to-rent/Glasgow.html
2026-08-09,sale,Cardiff,2354,rightmove_search,https://www.rightmove.co.uk/property-for-sale/Cardiff.html
2026-08-09,rent,Cardiff,1398,rightmove_search,https://www.rightmove.co.uk/property-to-rent/Cardiff.html
2026-08-09,sale,Cambridge,1211,rightmove_search,https://www.rightmove.co.uk/property-for-sale/Cambridge.html
2026-08-09,rent,Cambridge,723,rightmove_search,https://www.rightmove.co.uk/property-to-rent/Cambridge.html
2026-08-09,sold_history_index,Manchester,224217,rightmove_house_prices,https://www.rightmove.co.uk/house-prices/manchester.html
2026-08-09,sold_history_index,London,1951118,rightmove_house_prices,https://www.rightmove.co.uk/house-prices/london.html
