date,area,metric,days,source,collected_as_of
2026-06-01,UK,days_to_secure_buyer,62,rightmove_hpi,2026-08-09
2026-05-01,UK,days_to_secure_buyer,60,rightmove_hpi,2026-08-09
2026-04-01,UK,days_to_secure_buyer,62,rightmove_hpi,2026-08-09
2026-03-01,UK,days_to_secure_buyer,66,rightmove_hpi,2026-08-09
2026-02-01,UK,days_to_secure_buyer,73,rightmove_hpi,2026-08-09
2026-01-01,UK,days_to_secure_buyer,81,rightmove_hpi,2026-08-09
2025-12-01,UK,days_to_secure_buyer,76,rightmove_hpi,2026-08-09
2025-11-01,UK,days_to_secure_buyer,70,rightmove_hpi,2026-08-09
2025-10-01,UK,days_to_secure_buyer,66,rightmove_hpi,2026-08-09
2025-09-01,UK,days_to_secure_buyer,64,rightmove_hpi,2026-08-09
2025-08-01,UK,days_to_secure_buyer,63,rightmove_hpi,2026-08-09
