date,area,property_scope,avg_rent_gbp_pcm,avg_mortgage_payment_gbp_pcm,rent_minus_mortgage_gbp_pcm,note,source,collected_as_of
2026-07-01,UK,FTB_2bed_or_fewer,1290,1180,110,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2026-06-01,UK,FTB_2bed_or_fewer,1290,1203,87,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2026-05-01,UK,FTB_2bed_or_fewer,1272,1218,54,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2026-04-01,UK,FTB_2bed_or_fewer,1267,1237,30,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2026-03-01,UK,FTB_2bed_or_fewer,1258,1163,95,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2026-02-01,UK,FTB_2bed_or_fewer,1251,1117,134,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2026-01-01,UK,FTB_2bed_or_fewer,1250,1112,138,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2025-12-01,UK,FTB_2bed_or_fewer,1244,1096,148,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2025-11-01,UK,FTB_2bed_or_fewer,1249,1118,131,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2025-10-01,UK,FTB_2bed_or_fewer,1261,1139,122,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2025-09-01,UK,FTB_2bed_or_fewer,1266,1141,125,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2025-08-01,UK,FTB_2bed_or_fewer,1267,1131,136,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2025-07-01,UK,FTB_2bed_or_fewer,1262,1140,122,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2025-06-01,UK,FTB_2bed_or_fewer,1251,1155,96,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
