date,area,metric,change_pct,source,collected_as_of
2026-07-01,UK,avg_asking_price_mom_pct,-1.0,rightmove_hpi,2026-08-09
2026-06-01,UK,avg_asking_price_mom_pct,-0.6,rightmove_hpi,2026-08-09
2026-05-01,UK,avg_asking_price_mom_pct,1.2,rightmove_hpi,2026-08-09
2026-04-01,UK,avg_asking_price_mom_pct,0.8,rightmove_hpi,2026-08-09
2026-03-01,UK,avg_asking_price_mom_pct,0.8,rightmove_hpi,2026-08-09
2026-02-01,UK,avg_asking_price_mom_pct,0.0,rightmove_hpi,2026-08-09
2026-01-01,UK,avg_asking_price_mom_pct,2.8,rightmove_hpi,2026-08-09
2025-12-01,UK,avg_asking_price_mom_pct,-1.8,rightmove_hpi,2026-08-09
2025-11-01,UK,avg_asking_price_mom_pct,-1.8,rightmove_hpi,2026-08-09
2025-10-01,UK,avg_asking_price_mom_pct,0.3,rightmove_hpi,2026-08-09
2025-09-01,UK,avg_asking_price_mom_pct,0.4,rightmove_hpi,2026-08-09
2025-08-01,UK,avg_asking_price_mom_pct,-1.3,rightmove_hpi,2026-08-09
