date,area,metric,aggregation,value_gbp,mom_change_pct,yoy_change_pct,source,collected_as_of
2026-07-01,UK,avg_asking_price,mean,372359,-1.0,-0.36,rightmove_hpi,2026-08-09
2026-06-01,UK,avg_asking_price,mean,376191,-0.6,-0.54,rightmove_hpi,2026-08-09
2026-05-01,UK,avg_asking_price,mean,378304,1.2,-0.32,rightmove_hpi,2026-08-09
2026-04-01,UK,avg_asking_price,mean,373971,0.8,-0.85,rightmove_hpi,2026-08-09
2026-03-01,UK,avg_asking_price,mean,371042,0.8,-0.22,rightmove_hpi,2026-08-09
2026-02-01,UK,avg_asking_price,mean,368019,0.0,0.01,rightmove_hpi,2026-08-09
2026-01-01,UK,avg_asking_price,mean,368031,2.8,0.5,rightmove_hpi,2026-08-09
2025-12-01,UK,avg_asking_price,mean,358138,-1.8,-0.57,rightmove_hpi,2026-08-09
2025-11-01,UK,avg_asking_price,mean,364833,-1.8,-0.48,rightmove_hpi,2026-08-09
2025-10-01,UK,avg_asking_price,mean,371422,0.3,-0.14,rightmove_hpi,2026-08-09
2025-09-01,UK,avg_asking_price,mean,370257,0.4,-0.14,rightmove_hpi,2026-08-09
2025-08-01,UK,avg_asking_price,mean,368740,-1.3,0.25,rightmove_hpi,2026-08-09
2025-07-01,UK,avg_asking_price,mean,373709,-1.2,0.06,rightmove_hpi,2026-08-09
2025-06-01,UK,avg_asking_price,mean,378240,-0.34,0.83,rightmove_hpi,2026-08-09
2025-05-01,UK,avg_asking_price,mean,379517,0.62,1.17,rightmove_hpi,2026-08-09
2025-04-01,UK,avg_asking_price,mean,377182,1.43,1.3,rightmove_hpi,2026-08-09
2025-03-01,UK,avg_asking_price,mean,371870,1.05,1.02,rightmove_hpi,2026-08-09
2025-02-01,UK,avg_asking_price,mean,367994,0.49,1.42,rightmove_hpi,2026-08-09
2025-01-01,UK,avg_asking_price,mean,366189,1.66,1.79,rightmove_hpi,2026-08-09
2024-12-01,UK,avg_asking_price,mean,360197,-1.74,1.41,rightmove_hpi,2026-08-09
2024-11-01,UK,avg_asking_price,mean,366592,-1.44,1.23,rightmove_hpi,2026-08-09
2024-10-01,UK,avg_asking_price,mean,371958,0.32,1.01,rightmove_hpi,2026-08-09
2024-09-01,UK,avg_asking_price,mean,370759,0.8,1.22,rightmove_hpi,2026-08-09
2024-08-01,UK,avg_asking_price,mean,367825,-1.52,0.8,rightmove_hpi,2026-08-09
2024-07-01,UK,avg_asking_price,mean,373493,-0.43,0.43,rightmove_hpi,2026-08-09
2024-06-01,UK,avg_asking_price,mean,375110,-0.01,0.62,rightmove_hpi,2026-08-09
2024-05-01,UK,avg_asking_price,mean,375131,0.75,0.6,rightmove_hpi,2026-08-09
2024-04-01,UK,avg_asking_price,mean,372324,1.14,1.66,rightmove_hpi,2026-08-09
2024-03-01,UK,avg_asking_price,mean,368118,1.45,0.76,rightmove_hpi,2026-08-09
2024-02-01,UK,avg_asking_price,mean,362839,0.86,0.11,rightmove_hpi,2026-08-09
2024-01-01,UK,avg_asking_price,mean,359748,1.29,-0.74,rightmove_hpi,2026-08-09
2023-12-01,UK,avg_asking_price,mean,355177,-1.92,-1.1,rightmove_hpi,2026-08-09
2023-11-01,UK,avg_asking_price,mean,362143,-1.65,-1.32,rightmove_hpi,2026-08-09
2023-10-01,UK,avg_asking_price,mean,368231,0.53,-0.79,rightmove_hpi,2026-08-09
2023-09-01,UK,avg_asking_price,mean,366281,0.38,-0.4,rightmove_hpi,2026-08-09
2023-08-01,UK,avg_asking_price,mean,364895,-1.89,-0.08,rightmove_hpi,2026-08-09
2023-07-01,UK,avg_asking_price,mean,371907,-0.24,0.52,rightmove_hpi,2026-08-09
2023-06-01,UK,avg_asking_price,mean,372812,-0.02,1.14,rightmove_hpi,2026-08-09
2023-05-01,UK,avg_asking_price,mean,372894,1.81,1.47,rightmove_hpi,2026-08-09
2023-04-01,UK,avg_asking_price,mean,366247,0.24,1.71,rightmove_hpi,2026-08-09
2023-03-01,UK,avg_asking_price,mean,365357,0.8,3.04,rightmove_hpi,2026-08-09
2023-02-01,UK,avg_asking_price,mean,362452,0.0,3.91,rightmove_hpi,2026-08-09
2023-01-01,UK,avg_asking_price,mean,362438,0.92,6.28,rightmove_hpi,2026-08-09
2022-12-01,UK,avg_asking_price,mean,359137,-2.14,5.58,rightmove_hpi,2026-08-09
2022-11-01,UK,avg_asking_price,mean,366999,-1.12,7.18,rightmove_hpi,2026-08-09
2022-10-01,UK,avg_asking_price,mean,371158,0.92,7.76,rightmove_hpi,2026-08-09
2022-09-01,UK,avg_asking_price,mean,367760,0.71,8.66,rightmove_hpi,2026-08-09
2022-08-01,UK,avg_asking_price,mean,365173,-1.3,8.24,rightmove_hpi,2026-08-09
2022-07-01,UK,avg_asking_price,mean,369968,0.37,9.31,rightmove_hpi,2026-08-09
