date,area,avg_asking_price_gbp,mom_change_pct,yoy_change_pct,days_to_find_buyer,price_lag1,mom_lag1,yoy_lag1,days_lag1,price_lag2,mom_lag2,yoy_lag2,days_lag2,price_lag3,mom_lag3,yoy_lag3,days_lag3,target_next_mom_pct,target_fwd_3m_return_pct
2025-08-01,East Midlands,291440,-0.3,1.1,69,,,,,,,,,,,,,0.04,-2.37
2025-09-01,East Midlands,291578,0.04,0.9,68,291440,-0.3,1.1,69,,,,,,,,,-0.6,-3.19
2025-10-01,East Midlands,289928,-0.6,1.1,70,291578,0.04,0.9,68,291440,-0.3,1.1,69,,,,,-1.9,-3.22
2025-11-01,East Midlands,284531,-1.9,-0.8,71,289928,-0.6,1.1,70,291578,0.04,0.9,68,291440,-0.3,1.1,69,-0.8,0.75
2025-12-01,East Midlands,282269,-0.8,0.8,75,284531,-1.9,-0.8,71,289928,-0.6,1.1,70,291578,0.04,0.9,68,-0.6,2.82
2026-01-01,East Midlands,280598,-0.6,-0.2,80,282269,-0.8,0.8,75,284531,-1.9,-0.8,71,289928,-0.6,1.1,70,2.2,3.85
2026-02-01,East Midlands,286666,2.2,0.4,86,280598,-0.6,-0.2,80,282269,-0.8,0.8,75,284531,-1.9,-0.8,71,1.2,2.69
2026-03-01,East Midlands,290218,1.2,1.3,79,286666,2.2,0.4,86,280598,-0.6,-0.2,80,282269,-0.8,0.8,75,0.4,1.55
2026-04-01,East Midlands,291392,0.4,-0.23,73,290218,1.2,1.3,79,286666,2.2,0.4,86,280598,-0.6,-0.2,80,1.0,0.03
2026-05-01,East Midlands,294386,1.0,0.8,68,291392,0.4,-0.23,73,290218,1.2,1.3,79,286666,2.2,0.4,86,0.1,
2026-06-01,East Midlands,294710,0.1,0.9,65,294386,1.0,0.8,68,291392,0.4,-0.23,73,290218,1.2,1.3,79,-1.1,
2026-07-01,East Midlands,291470,-1.1,-0.3,68,294710,0.1,0.9,65,294386,1.0,0.8,68,291392,0.4,-0.23,73,,
2025-08-01,East of England,420729,-0.4,0.6,66,,,,,,,,,,,,,-0.4,-1.54
2025-09-01,East of England,418837,-0.4,0.2,66,420729,-0.4,0.6,66,,,,,,,,,0.3,-4.38
2025-10-01,East of England,420254,0.3,-0.6,67,418837,-0.4,0.2,66,420729,-0.4,0.6,66,,,,,-1.4,-1.83
2025-11-01,East of England,414260,-1.4,-0.6,70,420254,0.3,-0.6,67,418837,-0.4,0.2,66,420729,-0.4,0.6,66,-3.3,0.17
2025-12-01,East of England,400472,-3.3,-1.7,74,414260,-1.4,-0.6,70,420254,0.3,-0.6,67,418837,-0.4,0.2,66,3.0,4.74
2026-01-01,East of England,412555,3.0,-0.3,79,400472,-3.3,-1.7,74,414260,-1.4,-0.6,70,420254,0.3,-0.6,67,0.6,2.1
2026-02-01,East of England,414965,0.6,0.2,83,412555,3.0,-0.3,79,400472,-3.3,-1.7,74,414260,-1.4,-0.6,70,1.1,2.69
2026-03-01,East of England,419447,1.1,-0.2,76,414965,0.6,0.2,83,412555,3.0,-0.3,79,400472,-3.3,-1.7,74,0.43,0.73
2026-04-01,East of England,421237,0.43,-0.88,69,419447,1.1,-0.2,76,414965,0.6,0.2,83,412555,3.0,-0.3,79,1.2,-0.41
2026-05-01,East of England,426107,1.2,-0.1,66,421237,0.43,-0.88,69,419447,1.1,-0.2,76,414965,0.6,0.2,83,-0.8,
2026-06-01,East of England,422497,-0.8,-0.6,64,426107,1.2,-0.1,66,421237,0.43,-0.88,69,419447,1.1,-0.2,76,-0.7,
2026-07-01,East of England,419527,-0.7,-0.7,66,422497,-0.8,-0.6,64,426107,1.2,-0.1,66,421237,0.43,-0.88,69,,
2025-08-01,London,666983,-2.6,-1.6,66,,,,,,,,,,,,,1.2,0.31
2025-09-01,London,675074,1.2,-1.1,71,666983,-2.6,-1.6,66,,,,,,,,,1.5,-2.06
2025-10-01,London,685497,1.5,-1.4,70,675074,1.2,-1.1,71,666983,-2.6,-1.6,66,,,,,-2.4,-0.83
2025-11-01,London,669040,-2.4,-2.1,72,685497,1.5,-1.4,70,675074,1.2,-1.1,71,666983,-2.6,-1.6,66,-1.2,1.83
2025-12-01,London,661186,-1.2,0.0,78,669040,-2.4,-2.1,72,685497,1.5,-1.4,70,675074,1.2,-1.1,71,2.8,2.99
2026-01-01,London,679782,2.8,0.9,87,661186,-1.2,0.0,78,669040,-2.4,-2.1,72,685497,1.5,-1.4,70,0.2,0.05
2026-02-01,London,681292,0.2,-1.1,89,679782,2.8,0.9,87,661186,-1.2,0.0,78,669040,-2.4,-2.1,72,0.0,0.6
2026-03-01,London,680987,0.0,-2.1,80,681292,0.2,-1.1,89,679782,2.8,0.9,87,661186,-1.2,0.0,78,-0.12,0.89
