published_at,event_type,title,summary,value_pct,prev_value_pct,source,source_url,tags,collected_as_of
1975-02-01,boe_bank_rate_change,Bank Rate changed to 10.5%,BoE Bank Rate moved from 11.0% to 10.5%,10.5,11.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1975-03-01,boe_bank_rate_change,Bank Rate changed to 10.0%,BoE Bank Rate moved from 10.5% to 10.0%,10.0,10.5,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1975-04-01,boe_bank_rate_change,Bank Rate changed to 9.75%,BoE Bank Rate moved from 10.0% to 9.75%,9.75,10.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1975-05-01,boe_bank_rate_change,Bank Rate changed to 10.0%,BoE Bank Rate moved from 9.75% to 10.0%,10.0,9.75,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1975-07-01,boe_bank_rate_change,Bank Rate changed to 11.0%,BoE Bank Rate moved from 10.0% to 11.0%,11.0,10.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1975-10-01,boe_bank_rate_change,Bank Rate changed to 12.0%,BoE Bank Rate moved from 11.0% to 12.0%,12.0,11.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1975-11-01,boe_bank_rate_change,Bank Rate changed to 11.75%,BoE Bank Rate moved from 12.0% to 11.75%,11.75,12.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1975-12-01,boe_bank_rate_change,Bank Rate changed to 11.25%,BoE Bank Rate moved from 11.75% to 11.25%,11.25,11.75,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1976-01-01,boe_bank_rate_change,Bank Rate changed to 10.5%,BoE Bank Rate moved from 11.25% to 10.5%,10.5,11.25,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1976-02-01,boe_bank_rate_change,Bank Rate changed to 9.5%,BoE Bank Rate moved from 10.5% to 9.5%,9.5,10.5,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
