date,area,price_type,avg_price_gbp,mom_change_pct,yoy_change_pct,days_to_find_buyer,bank_rate_pct,source_url,collected_as_of,price_lag1,mom_lag1,price_lag2,mom_lag2,price_lag3,mom_lag3,fwd_1m_return_pct,fwd_1m_end_date,fwd_3m_return_pct,fwd_3m_end_date
2025-08-01,Yorkshire and The Humber,asking_rightmove,253762,-1.9,0.4,63,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,,,,,,,1.8939,2025-09-01,-1.5574,2025-11-01
2025-09-01,Yorkshire and The Humber,asking_rightmove,258568,1.9,2.0,66,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,253762,-1.9,,,,,-1.0589,2025-10-01,-5.1785,2025-12-01
2025-10-01,Yorkshire and The Humber,asking_rightmove,255830,-1.1,1.9,66,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,258568,1.9,253762,-1.9,,,-2.3531,2025-11-01,-2.7397,2026-01-01
2025-11-01,Yorkshire and The Humber,asking_rightmove,249810,-2.4,0.01,68,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,255830,-1.1,258568,1.9,253762,-1.9,-1.8542,2025-12-01,1.6328,2026-02-01
2025-12-01,Yorkshire and The Humber,asking_rightmove,245178,-1.9,0.7,70,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,249810,-2.4,255830,-1.1,258568,1.9,1.4859,2026-01-01,4.2218,2026-03-01
2026-01-01,Yorkshire and The Humber,asking_rightmove,248821,1.5,1.3,75,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,245178,-1.9,249810,-2.4,255830,-1.1,2.0368,2026-02-01,4.0153,2026-04-01
2026-02-01,Yorkshire and The Humber,asking_rightmove,253889,2.0,0.9,80,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,248821,1.5,245178,-1.9,249810,-2.4,0.646,2026-03-01,2.698,2026-05-01
2026-03-01,Yorkshire and The Humber,asking_rightmove,255529,0.6,1.0,76,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,253889,2.0,248821,1.5,245178,-1.9,1.2848,2026-04-01,1.3834,2026-06-01
2026-04-01,Yorkshire and The Humber,asking_rightmove,258812,1.28,1.05,69,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,255529,0.6,253889,2.0,248821,1.5,0.7446,2026-05-01,0.3547,2026-07-01
2026-05-01,Yorkshire and The Humber,asking_rightmove,260739,0.7,1.0,62,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,258812,1.28,255529,0.6,253889,2.0,-0.6424,2026-06-01,,
2026-06-01,Yorkshire and The Humber,asking_rightmove,259064,-0.6,0.1,62,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,260739,0.7,258812,1.28,255529,0.6,0.2571,2026-07-01,,
2026-07-01,Yorkshire and The Humber,asking_rightmove,259730,0.3,0.4,62,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,259064,-0.6,260739,0.7,258812,1.28,,,,
2025-08-01,West Midlands,asking_rightmove,295863,-0.4,1.8,59,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,,,,,,,-0.7497,2025-09-01,-1.3672,2025-11-01
2025-09-01,West Midlands,asking_rightmove,293645,-0.7,-0.1,63,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,295863,-0.4,,,,,0.6229,2025-10-01,-2.1036,2025-12-01
2025-10-01,West Midlands,asking_rightmove,295474,0.6,1.0,64,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,293645,-0.7,295863,-0.4,,,-1.2373,2025-11-01,-1.3714,2026-01-01
2025-11-01,West Midlands,asking_rightmove,291818,-1.2,1.3,66,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,295474,0.6,293645,-0.7,295863,-0.4,-1.4907,2025-12-01,0.3351,2026-02-01
2025-12-01,West Midlands,asking_rightmove,287468,-1.5,1.3,67,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,291818,-1.2,295474,0.6,293645,-0.7,1.3755,2026-01-01,2.3773,2026-03-01
2026-01-01,West Midlands,asking_rightmove,291422,1.4,1.2,75,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,287468,-1.5,291818,-1.2,295474,0.6,0.4715,2026-02-01,2.6518,2026-04-01
2026-02-01,West Midlands,asking_rightmove,292796,0.5,1.3,82,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,291422,1.4,287468,-1.5,291818,-1.2,0.5144,2026-03-01,3.8832,2026-05-01
2026-03-01,West Midlands,asking_rightmove,294302,0.5,1.1,71,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,292796,0.5,291422,1.4,287468,-1.5,1.6473,2026-04-01,3.229,2026-06-01
2026-04-01,West Midlands,asking_rightmove,299150,1.65,1.21,66,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,294302,0.5,292796,0.5,291422,1.4,1.6768,2026-05-01,0.4727,2026-07-01
2026-05-01,West Midlands,asking_rightmove,304166,1.7,0.5,61,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,299150,1.65,294302,0.5,292796,0.5,-0.1187,2026-06-01,,
2026-06-01,West Midlands,asking_rightmove,303805,-0.1,1.3,59,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,304166,1.7,299150,1.65,294302,0.5,-1.0668,2026-07-01,,
2026-07-01,West Midlands,asking_rightmove,300564,-1.1,1.2,62,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,303805,-0.1,304166,1.7,299150,1.65,,,,
2025-08-01,Wales,asking_rightmove,270880,0.0,3.0,68,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,,,,,,,-1.2374,2025-09-01,-3.5348,2025-11-01
2025-09-01,Wales,asking_rightmove,267528,-1.2,0.9,72,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,270880,0.0,,,,,0.1159,2025-10-01,-4.388,2025-12-01
2025-10-01,Wales,asking_rightmove,267838,0.1,1.8,74,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,267528,-1.2,270880,0.0,,,-2.4392,2025-11-01,-3.6007,2026-01-01
2025-11-01,Wales,asking_rightmove,261305,-2.4,0.5,71,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,267838,0.1,267528,-1.2,270880,0.0,-2.1109,2025-12-01,0.7397,2026-02-01
